OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2025-12-06T12:32:39.465600,13.76355825,.00272787,90.2214,67.3134,153.7200,225.1518,0,U,900,999,4492,.12457606E-2,.1228E-4,0
CALSPHERE 2,1964-063E,2025-12-06T12:06:46.849824,13.52881982,.0020332,90.2363,71.2520,69.3772,308.1044,0,U,902,999,83021,.12427911E-3,.92E-6,0
LCS 1,1965-034C,2025-12-06T14:34:08.707008,9.89309418,.00134549,32.1423,274.2852,160.8733,199.2271,0,U,1361,999,19081,.8474378E-3,.15E-6,0
TEMPSAT 1,1965-065E,2025-12-06T14:40:03.940608,13.33581598,.00713346,89.9885,212.6744,69.9359,350.4804,0,U,1512,999,93438,.17187651E-3,.96E-6,0
CALSPHERE 4A,1965-065H,2025-12-06T09:39:37.334880,13.36237786,.00682006,89.9093,124.2960,287.9283,100.6276,0,U,1520,999,93696,.31062058E-3,.17E-5,0
OPS 5712 (P/L 160),1967-053A,2025-12-06T14:21:41.346144,14.74061835,.00051251,69.9167,149.1313,290.6288,69.4308,0,U,2826,999,3781,.25727918E-2,.1693E-3,0
LES-5,1967-066E,2025-12-06T12:36:18.171648,1.09425217,.00562004,2.1795,102.7006,199.8627,98.2484,0,U,2866,999,12892,0,-.55E-6,0
SURCAL 159,1967-053F,2025-12-06T14:54:37.774656,13.99540380,.00071696,69.9753,55.4718,340.2787,19.8042,0,U,2872,999,98326,.18229942E-3,.212E-5,0
OPS 5712 (P/L 153),1967-053H,2025-12-06T15:14:55.191264,13.96790094,.00044142,69.9724,168.0152,83.5343,276.6265,0,U,2874,999,97989,.11202035E-3,.102E-5,0
OPS 3811 (DSP 2),1971-039A,2025-12-06T12:18:49.845888,0.98158438,.00247128,0.3261,314.1985,330.3071,51.3099,0,U,5204,999,20433,0,.17E-6,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2025-12-06T14:41:42.719136,14.37548981,.00614308,87.6218,32.2516,150.0168,210.4573,0,U,5398,999,84621,.46138971E-3,.1431E-4,0
OSCAR 7 (AO-7),1974-089B,2025-12-06T14:26:50.082720,12.53694047,.00123313,101.9965,346.8051,138.1941,334.0167,0,U,7530,999,33638,.43644691E-4,-.39E-6,0
STARLETTE,1975-010A,2025-12-06T15:33:28.628928,13.82347385,.02056345,49.8217,144.5778,146.9551,214.4385,0,U,7646,999,56790,.2068168E-5,-.141E-5,0
LAGEOS 1,1976-039A,2025-12-06T15:07:12.203040,6.38664872,.00446601,109.8362,113.3997,343.4919,29.9100,0,U,8820,999,90084,0,.4E-7,0
OPS 8701 (DSP 10),1982-019A,2025-12-06T13:49:41.144160,0.98188428,.00066527,9.6827,310.5838,303.8882,62.9686,0,U,13086,999,2377,0,-.69E-6,0
PHASE 3B (AO-10),1983-058B,2025-12-03T15:45:25.137216,2.05873532,.60657632,26.0785,252.7380,61.0913,346.0829,0,U,14129,999,29146,0,-.211E-5,0
UOSAT 2 (UO-11),1984-021B,2025-12-06T14:46:27.420960,14.90109882,.00092339,97.7804,303.7394,98.8678,261.3586,0,U,14781,999,22844,.29791448E-3,.2827E-4,0
AJISAI (EGS),1986-061A,2025-12-06T15:43:27.520032,12.44514208,.00112805,50.0114,19.4267,50.6145,88.0826,0,U,16908,999,45641,.15533887E-3,-.75E-6,0
TDRS 3,1988-091B,2025-12-06T10:00:25.602336,1.00274563,.00420065,12.7493,342.2755,342.9970,211.4584,0,U,19548,999,12345,0,-.299E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2025-12-05T11:50:41.792928,2.13155880,.00234253,64.8321,78.8257,217.1345,155.2541,0,U,19751,999,28724,0,-.21E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2025-12-06T06:24:54.680256,2.13204382,.00204566,65.0544,317.1793,214.1802,156.1778,0,U,20026,999,28439,0,-.48E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2025-12-06T10:50:20.819904,1.00270156,.00075208,12.4753,352.3177,278.7082,92.8306,0,U,20253,999,25863,0,-.367E-5,0
LUSAT (LO-19),1990-005G,2025-12-06T14:46:32.830464,14.34040803,.00124097,98.8962,352.0081,54.0950,306.1384,0,U,20442,999,87479,.13041539E-3,.318E-5,0
HST,1990-037B,2025-12-06T07:49:26.387040,15.27914955,.00019714,28.4701,316.1394,164.3487,195.7169,0,U,20580,999,75901,.44335219E-3,.12669E-3,0
SKYNET 4C,1990-079A,2025-12-06T03:33:07.136064,1.00274737,.0003998,13.4018,351.1281,265.9011,264.7874,0,U,20776,999,12895,0,.126E-5,0
USA 65 (DSP 15),1990-095A,2025-12-06T07:26:38.794272,0.98398958,.00012524,14.1242,345.3804,89.6127,277.7189,0,U,20929,999,2357,0,-.233E-5,0
TDRS 5,1991-054B,2025-12-06T06:01:18.503904,1.00264309,.00143337,14.0949,355.2004,253.5466,109.4389,0,U,21639,999,12578,0,.83E-6,0
USA 75 (DSP 16),1991-080B,2025-12-06T03:35:21.920064,0.99184775,.00010847,14.1083,346.8831,134.4570,49.1339,0,U,21805,999,2379,0,.39E-6,0
TDRS 6,1993-003B,2025-12-06T10:01:25.506048,1.00275437,.00088148,14.1788,358.4843,207.4417,334.0612,0,U,22314,999,12047,0,-.297E-5,0
SCD 1,1993-009B,2025-12-06T15:18:49.694688,14.45992193,.00417417,24.9707,316.3528,260.1107,261.2359,0,U,22490,999,73321,.17593214E-3,.83E-5,0
UFO 2 (USA 95),1993-056A,2025-12-05T17:15:30.521664,1.00275391,.00067827,11.8270,4.5988,269.6923,88.0878,0,U,22787,999,11660,0,.127E-5,0
STELLA,1993-061B,2025-12-06T15:52:24.428640,14.27463677,.00074527,98.8018,38.9600,79.2345,70.2179,0,U,22824,999,67730,.14927262E-4,-.9E-7,0
EYESAT A (AO-27),1993-061C,2025-12-06T15:14:47.301216,14.30873402,.00075077,98.7155,42.8878,309.9250,50.1272,0,U,22825,999,67946,.1303956E-3,.297E-5,0
ITAMSAT (IO-26),1993-061D,2025-12-06T14:26:31.584480,14.31293895,.00078609,98.7102,42.7530,291.5955,68.4390,0,U,22826,999,67976,.13973037E-3,.325E-5,0
USA 99 (MILSTAR-1 1),1994-009A,2025-12-06T05:21:39.988800,1.00272960,.0003829,17.3305,29.7854,247.7657,148.1436,0,U,22988,999,3102,0,-.203E-5,0
RADIO ROSTO (RS-15),1994-085A,2025-12-06T11:35:55.085280,11.27582544,.01495468,64.8166,254.8676,39.6546,321.5203,0,U,23439,999,27417,.76287772E-3,-.16E-6,0
UFO 4 (USA 108),1995-003A,2025-12-06T09:20:51.890208,1.00269615,.00035037,9.6727,13.8561,231.9172,142.1242,0,U,23467,999,11302,0,-.22E-6,0
TDRS 7,1995-035B,2025-12-06T12:22:41.975040,1.00269809,.00036813,13.4576,349.5121,76.3088,284.5786,0,U,23613,999,11132,0,-.24E-5,0
USA 115 (MILSTAR-1 2),1995-060A,2025-12-06T05:20:56.793120,1.00273794,.00032826,14.0025,5.1706,273.6715,116.6711,0,U,23712,999,3095,0,-.22E-6,0
POLAR,1996-013A,2025-12-01T20:40:09.204096,1.29846141,.6274469,79.6185,229.2704,215.7594,78.7365,0,U,23802,999,14229,0,.137E-5,0
INMARSAT 3-F1,1996-020A,2025-12-05T15:53:53.340288,0.99981673,.00090066,10.1975,48.3846,200.7430,166.9325,0,U,23839,999,10832,0,-.277E-5,0
USA 119,1996-029A,2025-12-06T10:58:20.356320,13.45540983,.08413359,63.3234,336.1119,46.2361,320.5232,0,U,23893,999,7933,.47305404E-3,.2649E-4,0
JAS-2 (FO-29),1996-046B,2025-12-06T15:16:11.790048,13.53262366,.03489975,98.5467,210.5907,235.8434,120.9157,0,U,24278,999,44712,.80947879E-4,.42E-6,0
INMARSAT 3-F2,1996-053A,2025-12-05T23:12:38.603808,1.00001545,.0006263,9.4196,55.8752,197.1070,154.9200,0,U,24307,999,10698,0,-.167E-5,0
