OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2025-12-06T13:42:35.116128,14.11706975,.05491359,30.3575,355.9126,339.8301,18.1362,0,U,694,999,11845,.600218E-3,.4975E-4,0
THOR AGENA D R/B,1964-002A,2025-12-06T13:58:07.887072,14.33954223,.00330954,99.1217,343.8679,167.9667,192.2313,0,U,733,999,22495,.18637272E-3,.474E-5,0
SL-3 R/B,1964-053B,2025-12-06T11:33:09.309600,14.61267345,.00733313,65.0769,244.4779,322.4324,37.1665,0,U,877,999,25317,.19462892E-3,.875E-5,0
SL-8 R/B,1967-045B,2025-12-06T15:11:59.572896,14.45527744,.00646157,74.0095,161.8651,192.6157,167.3388,0,U,2802,999,7557,.194108E-3,.674E-5,0
SL-8 R/B,1968-040B,2025-12-06T13:56:53.296224,15.02458765,.00250167,74.0294,143.8279,346.8960,13.1575,0,U,3230,999,7602,.43113075E-3,.572E-4,0
OAO 2,1968-110A,2025-12-06T15:32:41.979840,14.47238159,.0005421,34.9939,64.6681,177.4210,182.6510,0,U,3597,999,561,.16265643E-3,.584E-5,0
ISIS 1,1969-009A,2025-12-06T12:14:29.862240,11.30350550,.17068574,88.4488,165.4779,277.2893,63.8115,0,U,3669,999,33800,.26258293E-3,.361E-5,0
SERT 2,1970-009A,2025-12-06T15:27:51.909984,13.58716423,.00055521,99.2639,283.8853,48.1901,124.9663,0,U,4327,999,76725,.13778041E-3,.6E-6,0
SL-3 R/B,1971-028B,2025-12-06T14:58:00.880320,15.53974021,.00194926,81.2368,166.3226,262.5455,97.3579,0,U,5118,999,97418,.62102391E-3,.40602E-3,0
ASTEX 1,1971-089A,2025-12-06T15:14:03.187104,14.50631249,.00170924,92.7136,121.6440,45.0562,315.2027,0,U,5560,999,84881,.28379689E-3,.1114E-4,0
SL-8 R/B,1971-119B,2025-12-06T11:38:42.380736,14.35515703,.05599608,73.8881,349.6468,335.1697,22.3416,0,U,5730,999,64210,.92955684E-3,.17799E-3,0
OAO 3 (COPERNICUS),1972-065A,2025-12-06T15:36:21.907584,14.59897863,.00059978,35.0049,107.3544,121.6845,255.3306,0,U,6153,999,83259,.16671433E-3,.789E-5,0
ATLAS CENTAUR R/B,1972-065B,2025-12-06T12:14:16.572192,14.77382595,.00345084,35.0002,131.6904,305.8913,53.8586,0,U,6155,999,82747,.34242231E-3,.2477E-4,0
SL-8 R/B,1975-112B,2025-12-06T15:20:55.544064,14.38139365,.00164966,74.0596,190.0786,302.1117,57.8435,0,U,8459,999,61849,.18277926E-3,.529E-5,0
SL-3 R/B,1977-057B,2025-12-06T14:16:09.719616,15.42729998,.0006395,97.5681,143.6844,258.4909,101.5620,0,U,10114,999,65396,.42697358E-3,.18591E-3,0
SEASAT 1,1978-064A,2025-12-06T14:16:21.897696,14.46051130,.00017884,108.0105,290.1421,249.8502,110.2452,0,U,10967,999,49305,.29542715E-3,.918E-5,0
SL-14 R/B,1979-011B,2025-12-06T14:48:30.368160,14.91758853,.00164612,82.5240,184.8510,13.7312,346.4352,0,U,11267,999,51490,.10496856E-3,.1085E-4,0
SL-8 R/B,1979-089B,2025-12-06T00:55:46.690176,14.42276282,.00144399,74.0692,264.3809,101.7173,258.5605,0,U,11574,999,42260,.18360949E-3,.58E-5,0
SL-14 R/B,1980-005B,2025-12-06T15:15:58.563936,14.90781113,.001722,82.5155,35.4878,112.0116,248.2935,0,U,11672,999,46262,.10980497E-3,.1107E-4,0
SL-8 R/B,1981-003B,2025-12-06T13:29:16.204704,15.06773597,.02804519,82.9281,15.8889,141.5052,220.6557,0,U,12139,999,30063,.63324136E-3,.23788E-3,0
SL-3 R/B,1981-046B,2025-12-06T15:35:38.325696,15.39425589,.0019298,81.2334,41.2225,345.9478,14.1224,0,U,12465,999,42410,.43298575E-3,.17104E-3,0
SL-3 R/B,1981-103B,2025-12-06T14:30:17.752896,15.20121802,.00113769,81.1588,322.5387,237.0247,122.9891,0,U,12904,999,95908,.45348289E-3,.9844E-4,0
SL-3 R/B,1982-013B,2025-12-06T12:36:35.245152,15.20999795,.00237378,81.1756,269.8821,130.7350,229.5948,0,U,13068,999,39018,.32801842E-3,.7354E-4,0
