OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ATLAS CENTAUR 2,1963-047A,2025-12-05T05:27:31.809600,14.11693608,.05492048,30.3581,3.4173,327.9919,28.8411,0,U,694,999,11826,.65175522E-3,.5398E-4,0
THOR AGENA D R/B,1964-002A,2025-12-04T23:27:07.274592,14.33952745,.00330073,99.1217,342.1761,172.6221,187.5454,0,U,733,999,22472,.19246056E-3,.491E-5,0
SL-3 R/B,1964-053B,2025-12-05T04:20:40.007040,14.61264743,.00732118,65.0769,248.2894,322.8627,36.7419,0,U,877,999,25298,.18825507E-3,.842E-5,0
SL-8 R/B,1967-045B,2025-12-05T05:58:49.327392,14.45525755,.00646705,74.0095,164.4496,195.5144,164.4034,0,U,2802,999,7537,.18271375E-3,.633E-5,0
SL-8 R/B,1968-040B,2025-12-05T01:11:33.100224,15.02442219,.00249366,74.0293,146.9532,350.2904,9.7799,0,U,3230,999,7579,.47493299E-3,.6303E-4,0
OAO 2,1968-110A,2025-12-05T06:25:45.818688,14.47236558,.00052838,34.9936,72.3710,166.3343,193.7491,0,U,3597,999,541,.16050376E-3,.576E-5,0
ISIS 1,1969-009A,2025-12-04T13:30:33.824736,11.30349285,.1706872,88.4488,165.6908,281.2251,60.2429,0,U,3669,999,33778,.25752E-3,.354E-5,0
SERT 2,1970-009A,2025-12-05T07:23:09.369312,13.58716255,.00055695,99.2637,282.6234,51.1647,67.5737,0,U,4327,999,76707,.14151646E-3,.62E-6,0
SL-3 R/B,1971-028B,2025-12-05T06:30:43.927200,15.53865425,.00195498,81.2366,167.9742,267.4285,92.4726,0,U,5118,999,97397,.6274165E-3,.40861E-3,0
ASTEX 1,1971-089A,2025-12-05T07:46:45.380640,14.50628705,.00172047,92.7135,121.2200,48.9433,311.3256,0,U,5560,999,84862,.29123502E-3,.1143E-4,0
SL-8 R/B,1971-119B,2025-12-05T07:12:45.358272,14.35473339,.05600614,73.8879,351.8542,337.6172,20.1369,0,U,5730,999,64193,.85520014E-3,.16355E-3,0
OAO 3 (COPERNICUS),1972-065A,2025-12-04T16:00:27.872928,14.59895075,.0005944,35.0046,118.6522,103.7278,273.7630,0,U,6153,999,83230,.16795E-3,.795E-5,0
ATLAS CENTAUR R/B,1972-065B,2025-12-04T13:12:05.724864,14.77373289,.0034572,35.0000,143.1703,289.7370,69.9603,0,U,6155,999,82718,.31037E-3,.2243E-4,0
SL-8 R/B,1975-112B,2025-12-05T00:57:01.203264,14.38137827,.00164714,74.0597,193.0214,305.2162,54.7449,0,U,8459,999,61826,.18926077E-3,.549E-5,0
SL-3 R/B,1977-057B,2025-12-05T05:34:41.698848,15.42678933,.00063949,97.5679,142.2698,264.2519,95.7999,0,U,10114,999,65375,.45835366E-3,.19933E-3,0
SEASAT 1,1978-064A,2025-12-05T06:43:40.060992,14.46048751,.00018237,108.0102,287.3848,250.1474,109.9475,0,U,10967,999,49286,.29786903E-3,.927E-5,0
SL-14 R/B,1979-011B,2025-12-05T01:46:55.626816,14.91756170,.00165889,82.5241,186.3141,18.6762,341.5063,0,U,11267,999,51467,.10578297E-3,.1093E-4,0
SL-8 R/B,1979-089B,2025-12-05T06:37:04.082880,14.42275545,.00144492,74.0692,265.7930,103.4310,256.8458,0,U,11574,999,42249,.1898473E-3,.601E-5,0
SL-14 R/B,1980-005B,2025-12-05T05:26:14.638848,14.90778191,.00171765,82.5155,36.8244,116.3312,243.9673,0,U,11672,999,46241,.11092227E-3,.1118E-4,0
SL-8 R/B,1981-003B,2025-12-05T04:00:56.997504,15.06710474,.02806433,82.9288,17.1731,146.3322,215.6098,0,U,12139,999,30042,.7212372E-3,.2706E-3,0
SL-3 R/B,1981-046B,2025-12-05T06:50:00.801600,15.39380325,.00194385,81.2339,42.8547,350.7064,9.3814,0,U,12465,999,42389,.45872131E-3,.18096E-3,0
SL-3 R/B,1981-103B,2025-12-05T05:19:44.341536,15.20094851,.00113876,81.1585,324.1579,242.3971,117.6104,0,U,12904,999,95887,.49061312E-3,.10641E-3,0
SL-3 R/B,1982-013B,2025-12-05T06:36:38.924928,15.20981141,.00236886,81.1757,271.3448,134.8562,225.4599,0,U,13068,999,38999,.37483027E-3,.8396E-4,0
SL-3 R/B,1982-039B,2025-12-05T06:45:07.822656,15.09455508,.00301656,81.1726,324.6767,277.6399,82.1400,0,U,13154,999,36739,.35557752E-3,.5773E-4,0
SL-3 R/B,1982-079B,2025-12-05T06:13:23.909664,15.23456055,.00269325,81.1463,304.4773,122.9973,237.3853,0,U,13403,999,36331,.44861701E-3,.1083E-3,0
SL-14 R/B,1982-092B,2025-12-05T05:16:26.107104,14.86543884,.00188791,82.5687,229.7440,253.8601,225.0007,0,U,13553,999,31489,.10377116E-3,.945E-5,0
SL-3 R/B,1983-010B,2025-12-04T20:41:13.248096,15.43141384,.0017532,81.1030,118.2318,18.3051,341.8819,0,U,13819,999,34330,.52514E-3,.23445E-3,0
SL-3 R/B,1983-075B,2025-12-05T05:31:47.953632,15.35907732,.00218808,97.6095,335.4630,202.7508,157.2768,0,U,14208,999,31564,.49266323E-3,.17286E-3,0
COSMOS 1536,1984-013A,2025-12-05T02:47:41.798400,15.22389065,.00131805,82.5454,201.7232,255.5262,104.4512,0,U,14699,999,25822,.43539284E-3,.1011E-3,0
SL-14 R/B,1984-027B,2025-12-05T06:46:51.693600,14.85861944,.00164666,82.5408,333.5502,287.9220,72.0200,0,U,14820,999,23361,.10828325E-3,.969E-5,0
SL-8 R/B,1985-006B,2025-12-05T07:20:07.852416,14.37714507,.00183669,74.0465,74.8118,8.8782,50.4070,0,U,15483,999,14046,.18357E-3,.527E-5,0
SL-12 R/B(2),1985-042D,2025-12-05T07:22:00.912000,14.21948181,.00376752,71.1082,287.1222,272.3849,240.0789,0,U,15772,999,10097,.1104214E-3,.198E-5,0
SL-14 R/B,1985-069B,2025-12-04T19:47:41.275392,14.86309670,.0019681,82.5260,114.1435,143.2392,217.0179,0,U,15945,999,15874,.12604948E-3,.1137E-4,0
SL-16 R/B,1985-097B,2025-12-05T06:50:11.512608,14.16581711,.00062066,71.0031,339.2987,22.6410,349.4594,0,U,16182,999,7386,-.18682711E-4,-.85E-6,0
SL-14 R/B,1986-006B,2025-12-05T07:06:29.676384,14.86656519,.00756017,82.5266,348.5558,224.7969,134.7130,0,U,16496,999,13518,.12928262E-3,.1234E-4,0
COSMOS 1743,1986-034A,2025-12-04T23:32:46.981248,15.51555329,.00047971,82.5341,172.6467,287.4064,72.6663,0,U,16719,999,16553,.7365789E-3,.43819E-3,0
SL-14 R/B,1986-046B,2025-12-05T05:42:05.630688,14.85472370,.00231623,82.4812,169.3993,176.6422,183.4954,0,U,16792,999,11238,.10141274E-3,.903E-5,0
SL-14 R/B,1986-055B,2025-12-05T04:17:50.344224,14.85519644,.00175489,82.5212,215.4767,286.6106,190.0436,0,U,16882,999,10533,.10294733E-3,.915E-5,0
AJISAI (EGS),1986-061A,2025-12-05T06:45:04.949856,12.44514136,.00112662,50.0114,23.6512,47.1893,52.7197,0,U,16908,999,45624,.36727637E-4,-.92E-6,0
COSMOS 1812,1987-003A,2025-12-05T07:04:32.088576,15.73703181,.00072021,82.4870,300.0647,96.4255,263.7830,0,U,17295,999,12948,.87708383E-3,.124673E-2,0
SL-14 R/B,1987-024B,2025-12-05T00:51:39.209472,14.86012335,.00174419,82.5280,181.6914,210.4840,149.5365,0,U,17567,999,7407,.10054926E-3,.905E-5,0
